Protein.Accession,Group.Proteins,Group.Accessions,Gene,FC,FCmin,FCmax,Adj_pValue,Log2FC,Log10pValue,Log2FCmin,Log2FCmax,FC_SE,FC_SD_NoProp,FC_SD_Log2,type
P55285,sp|P55285|CADH6_HUMAN,P55285,CDH6,15.1799,11.4933,20.0492,8.44960922e-05,3.9241,-4.07316337596416,3.5227211844368,4.32547276652721,2.18262755102041,2.39669139201986,0.227781130693108,Enriched
P82909,sp|P82909|KGD4_HUMAN,P82909,MRPS36,7.4967,5.3687,10.468,0.000377257883,2.9062,-3.42336167664811,2.42457279014624,3.38791392438595,1.30084183673469,1.42842347565152,0.274891547562504,Enriched
P98077,sp|P98077|SHC2_HUMAN,P98077,SHC2,0.2923,0.2256,0.3789,0.000790316699,-1.7743,-3.10219884153675,-2.14816102715066,-1.40011095504074,0.0391071428571429,0.0429426232654243,0.211950426369452,Depleted
Q14674,sp|Q14674|ESPL1_HUMAN,Q14674,ESPL1,6.0851,1.791,20.6746,0.0306098039,2.6053,-1.51413945267711,0.840765337323874,4.36978751213887,4.81724489795918,5.28970202671211,1.25411692194341,Enriched
Q6P3W7,sp|Q6P3W7|SCYL2_HUMAN,Q6P3W7,SCYL2,2.6307,0.2819,24.5509,0.366574766,1.3954,-0.435837433984116,-1.82674461697903,4.6177040074818,6.19107142857143,6.79826825850348,3.72821982862957,Not Significant
Q7Z3D6,sp|Q7Z3D6|GLUCM_HUMAN,Q7Z3D6,DGLUCY,14.518,6.8685,30.6866,0.00195190307,3.8598,-2.70954175286264,2.77999506573262,4.93953690247511,6.07604591836735,6.6719614820496,0.663011829670418,Enriched
Q86X83,sp|Q86X83|COMD2_HUMAN,Q86X83,COMMD2,14.977,0.9346,240.0077,0.0876564923,3.9047,-1.05721591224964,-0.0975790576846498,7.90693688133192,60.9880357142857,66.9695111950236,6.45099697481595,Not Significant
Q8IYI6,sp|Q8IYI6|EXOC8_HUMAN,Q8IYI6,EXOC8,1.3545,0.6165,2.9762,0.41123554,0.4378,-0.385909359579635,-0.697827200259248,1.57347147850007,0.601964285714286,0.661002662227148,0.704042275976012,Not Significant
Q8N4C8,sp|Q8N4C8|MINK1_HUMAN,Q8N4C8,MINK1,2.5368,2.0912,3.0774,0.000753851654,1.343,-3.12271410796018,1.06433104624598,1.62171197714902,0.251581632653061,0.276255806029755,0.157108515206524,Enriched
Q8N6M0,sp|Q8N6M0|OTU6B_HUMAN,Q8N6M0,OTUD6B,1.2292,0.3968,3.8074,0.683558713,0.2977,-0.16522417657999,-1.33351606916257,1.92880614534063,0.870051020408163,0.955382328173883,1.12131902620356,Not Significant
