Protein,Protein Accession,Protein Gene,MS Level,Fold Change Result,Fold Change,Min Fold Change,Max Fold Change,Adjusted P-Value,Log 2 Fold Change
sp|Q14157|UBP2L_HUMAN,Q14157,UBAP2L,2,10.52 (95% CI:5.43 to 20.4),10.5227,5.4267,20.4044,1.98877951E-3,3.3954
sp|Q14204|DYHC1_HUMAN,Q14204,DYNC1H1,2,2.96 (95% CI:1.45 to 6.04),2.9557,1.4471,6.037,3.41456949E-2,1.5635
sp|Q16543|CDC37_HUMAN,Q16543,CDC37,2,12.54 (95% CI:9.49 to 16.56),12.5405,9.4945,16.5637,1.05415900E-4,3.6485
sp|Q86VP3|PACS2_HUMAN,Q86VP3,PACS2,2,1.23 (95% CI:0.85 to 1.77),1.2274,0.8507,1.7709,2.57635537E-1,0.2956
sp|Q96II8|LRCH3_HUMAN,Q96II8,LRCH3,2,3.26 (95% CI:2.51 to 4.23),3.2585,2.5089,4.232,9.19338610E-4,1.7042
sp|Q99698|LYST_HUMAN,Q99698,LYST,2,3.63 (95% CI:1.52 to 8.69),3.6331,1.5185,8.6925,3.04894348E-2,1.8612
sp|Q9BRF8|CPPED_HUMAN,Q9BRF8,CPPED1,2,675854.12 (95% CI:475924.98 to 959770.55),675854.1155,475924.9841,959770.5536,2.96225293E-6,19.3664
sp|Q9BZL6|KPCD2_HUMAN,Q9BZL6,PRKD2,2,0.88 (95% CI:0.56 to 1.39),0.8794,0.5554,1.3924,5.35701474E-1,-0.1854
sp|Q9H009|NACA2_HUMAN,Q9H009,NACA2,2,4.57 (95% CI:3.25 to 6.42),4.5672,3.25,6.4181,9.54330513E-4,2.1913
sp|Q9H019|MFR1L_HUMAN,Q9H019,MTFR1L,2,0.11 (95% CI:0.08 to 0.15),0.1089,0.0777,0.1525,2.86046752E-4,-3.1991
sp|Q9H3Z4|DNJC5_HUMAN,Q9H3Z4,DNAJC5,2,0.35 (95% CI:0.09 to 1.38),0.3475,0.0873,1.3831,1.49461261E-1,-1.525
sp|Q9NRR5|UBQL4_HUMAN,Q9NRR5,UBQLN4,2,10.74 (95% CI:7.95 to 14.51),10.7388,7.9453,14.5145,1.62358380E-4,3.4248
sp|Q9NVS9|PNPO_HUMAN,Q9NVS9,PNPO,2,9.3 (95% CI:1.87 to 46.26),9.2994,1.8695,46.2581,3.63339681E-2,3.2171
sp|Q9NZQ7|PD1L1_HUMAN,Q9NZQ7,CD274,2,0.69 (95% CI:0.28 to 1.7),0.6889,0.279,1.7011,3.88098395E-1,-0.5376
sp|Q9P003|CNIH4_HUMAN,Q9P003,CNIH4,2,69.46 (95% CI:30.89 to 156.19),69.461,30.8913,156.1875,5.84923503E-4,6.1181
sp|Q9UBF8|PI4KB_HUMAN,Q9UBF8,PI4KB,2,1.14 (95% CI:0.42 to 3.1),1.1419,0.4206,3.1,7.71264793E-1,0.1915
sp|P02763|A1AG1_HUMAN,P02763,ORM1,2,0.05 (95% CI:0.04 to 0.06),0.0494,0.0428,0.0569,1.02772397E-5,-4.34
sp|P04211|LV743_HUMAN,P04211,IGLV7-43,2,0.11 (95% CI:0.11 to 0.12),0.1141,0.1061,0.1227,4.74642780E-6,-3.1319
sp|P04843|RPN1_HUMAN,P04843,RPN1,2,22.69 (95% CI:17.36 to 29.65),22.6892,17.3612,29.6524,5.03142352E-5,4.5039
sp|P05067|A4_HUMAN,P05067,APP,2,48.71 (95% CI:30.79 to 77.07),48.7103,30.7873,77.0673,1.30583102E-4,5.6062
sp|P08567|PLEK_HUMAN,P08567,PLEK,2,20.69 (95% CI:18.73 to 22.86),20.6915,18.7314,22.8567,4.55261462E-6,4.371
sp|P46939|UTRN_HUMAN,P46939,UTRN,2,1.75 (95% CI:0.43 to 7.15),1.7461,0.4267,7.1455,4.02499029E-1,0.8041
sp|P58546|MTPN_HUMAN,P58546,MTPN,2,15.69 (95% CI:11.71 to 21.03),15.6898,11.7063,21.0288,9.47450975E-5,3.9718
sp|Q00688|FKBP3_HUMAN,Q00688,FKBP3,2,2.24 (95% CI:0.43 to 11.76),2.241,0.427,11.7625,3.15544649E-1,1.1641
sp|Q07108|CD69_HUMAN,Q07108,CD69,2,8.97 (95% CI:1.69 to 47.51),8.9693,1.6934,47.5059,4.23929512E-2,3.165
sp|Q08380|LG3BP_HUMAN,Q08380,LGALS3BP,2,28.54 (95% CI:25.89 to 31.46),28.5433,25.8949,31.4627,3.52048413E-6,4.8351
sp|Q13618|CUL3_HUMAN,Q13618,CUL3,2,1.28 (95% CI:0.18 to 9.25),1.2778,0.1765,9.2513,7.87099679E-1,0.3537
sp|Q14644|RASA3_HUMAN,Q14644,RASA3,2,7 (95% CI:3.84 to 12.75),6.9996,3.8419,12.7527,2.65167499E-3,2.8073
sp|Q5T4F4|ZFY27_HUMAN,Q5T4F4,ZFYVE27,2,297.01 (95% CI:0 to 26400363.98),297.0093,0.0033,26400363.9778,3.04127890E-1,8.2144
sp|Q6SPF0|SAMD1_HUMAN,Q6SPF0,SAMD1,2,1016.34 (95% CI:0.02 to 48072744.15),1016.343,0.0215,48072744.1519,2.03714178E-1,9.9892
sp|Q86UK0|ABCAC_HUMAN,Q86UK0,ABCA12,2,1.6 (95% CI:0.95 to 2.68),1.5978,0.9521,2.6813,1.04415388E-1,0.6761
sp|Q8IUX4|ABC3F_HUMAN,Q8IUX4,APOBEC3F,2,2.72 (95% CI:0.42 to 17.53),2.7216,0.4225,17.5313,2.74321065E-1,1.4445
sp|Q8NCC3|PAG15_HUMAN,Q8NCC3,PLA2G15,2,434.56 (95% CI:0.01 to 24718143.94),434.5644,0.0076,24718143.9369,2.60684162E-1,8.7634
sp|Q92558|WASF1_HUMAN,Q92558,WASF1,2,32.34 (95% CI:22.89 to 45.71),32.3426,22.8855,45.7076,7.76012884E-5,5.0154
sp|Q96QS1|TSN32_HUMAN,Q96QS1,TSPAN32,2,1.05 (95% CI:0.85 to 1.29),1.0476,0.8511,1.2895,6.16582147E-1,0.0671
sp|Q9NR12|PDLI7_HUMAN,Q9NR12,PDLIM7,2,4 (95% CI:3.61 to 4.42),3.9968,3.6141,4.42,3.13471464E-5,1.9988
sp|Q9UJ70|NAGK_HUMAN,Q9UJ70,NAGK,2,16.58 (95% CI:11.67 to 23.55),16.5818,11.6744,23.552,1.55480984E-4,4.0515
sp|Q9UM22|EPDR1_HUMAN,Q9UM22,EPDR1,2,2.67 (95% CI:0.63 to 11.33),2.6677,0.6282,11.3286,1.85695307E-1,1.4156
sp|A0A087WSY6|KVD15_HUMAN,A0A087WSY6,IGKV3D-15,2,0.11 (95% CI:0.09 to 0.14),0.1133,0.0888,0.1444,1.09576180E-4,-3.1423
sp|P01703|LV140_HUMAN,P01703,IGLV1-40,2,0.27 (95% CI:0.21 to 0.35),0.2732,0.212,0.3521,6.27925519E-4,-1.872
sp|P07339|CATD_HUMAN,P07339,CTSD,2,5.75 (95% CI:2.03 to 16.29),5.7516,2.0309,16.2884,2.09219053E-2,2.524
sp|P08887|IL6RA_HUMAN,P08887,IL6R,2,0.71 (95% CI:0.26 to 1.99),0.7136,0.2562,1.9877,4.76086000E-1,-0.4868
sp|P16455|MGMT_HUMAN,P16455,MGMT,2,9.34 (95% CI:5.44 to 16.05),9.3411,5.4351,16.0543,1.23450749E-3,3.2236
sp|P59666|DEF3_HUMAN / sp|P59665|DEF1_HUMAN,P59666 / P59665,DEFA3 / DEFA1B,2,3.53 (95% CI:2.83 to 4.39),3.525,2.8326,4.3868,4.38501863E-4,1.8176
sp|Q00610|CLH1_HUMAN,Q00610,CLTC,2,21.53 (95% CI:18.96 to 24.45),21.5344,18.9632,24.4544,7.40136472E-6,4.4286
sp|Q16204|CCDC6_HUMAN,Q16204,CCDC6,2,2.1 (95% CI:0.63 to 7),2.0996,0.6297,7.0008,2.19592093E-1,1.0701
sp|Q32MK0|MYLK3_HUMAN / sp|Q86YV6|MYLK4_HUMAN / sp|Q9H1R3|MYLK2_HUMAN,Q32MK0 / Q86YV6 / Q9H1R3,MYLK3 / MYLK4 / MYLK2,2,33.65 (95% CI:25.84 to 43.83),33.6541,25.8403,43.8308,3.44129820E-5,5.0727
sp|Q658Y4|F91A1_HUMAN,Q658Y4,FAM91A1,2,2.41 (95% CI:0.22 to 26.34),2.4104,0.2206,26.3369,4.31110013E-1,1.2693
sp|Q6ZMW3|EMAL6_HUMAN,Q6ZMW3,EML6,2,397.72 (95% CI:48.8 to 3241.65),397.7174,48.7959,3241.6495,4.03204838E-3,8.6356
sp|Q86VR2|RETR3_HUMAN,Q86VR2,RETREG3,2,6.1 (95% CI:1.11 to 33.61),6.0957,1.1054,33.6146,7.17014654E-2,2.6078
sp|Q99623|PHB2_HUMAN,Q99623,PHB2,2,6.64 (95% CI:5.49 to 8.03),6.6383,5.4888,8.0286,7.96863308E-5,2.7308
sp|Q9BT22|ALG1_HUMAN,Q9BT22,ALG1,2,6.63 (95% CI:1.68 to 26.14),6.6347,1.684,26.1403,3.71211257E-2,2.73
sp|Q9BXV9|GON7_HUMAN,Q9BXV9,GON7,2,33.41 (95% CI:7.84 to 142.34),33.4064,7.8405,142.3369,6.82460577E-3,5.0621
sp|Q9NQ29|LUC7L_HUMAN,Q9NQ29,LUC7L,2,0.41 (95% CI:0.02 to 7.2),0.4058,0.0229,7.1981,4.91454771E-1,-1.3012
sp|Q9UQ35|SRRM2_HUMAN,Q9UQ35,SRRM2,2,0.12 (95% CI:0.09 to 0.16),0.1176,0.0881,0.1572,1.98850646E-4,-3.0876
sp|O14841|OPLA_HUMAN,O14841,OPLAH,2,0.62 (95% CI:0.1 to 3.77),0.6185,0.1016,3.7663,5.55323829E-1,-0.6931
sp|O15269|SPTC1_HUMAN,O15269,SPTLC1,2,8.41 (95% CI:2.11 to 33.58),8.4082,2.1056,33.5756,2.71880775E-2,3.0718
sp|O75663|TIPRL_HUMAN,O75663,TIPRL,2,7.8 (95% CI:4.5 to 13.52),7.802,4.501,13.5237,1.69347613E-3,2.9638
sp|O75882|ATRN_HUMAN,O75882,ATRN,2,0.07 (95% CI:0.06 to 0.08),0.0716,0.0627,0.0819,1.24993664E-5,-3.803
sp|P00740|FA9_HUMAN,P00740,F9,2,44.95 (95% CI:42.25 to 47.83),44.9535,42.2529,47.8266,2.11187355E-6,5.4904
sp|P02538|K2C6A_HUMAN / sp|P48668|K2C6C_HUMAN,P02538 / P48668,KRT6A / KRT6C,2,0.55 (95% CI:0.27 to 1.12),0.5483,0.2681,1.1213,1.23090817E-1,-0.8669
sp|P22001|KCNA3_HUMAN,P22001,KCNA3,2,10.12 (95% CI:5.59 to 18.29),10.1159,5.5946,18.2912,1.46773915E-3,3.3386
sp|P33151|CADH5_HUMAN,P33151,CDH5,2,1.16 (95% CI:0.83 to 1.62),1.1602,0.8291,1.6236,3.57141594E-1,0.2144
sp|P45984|MK09_HUMAN / sp|P53779|MK10_HUMAN,P45984 / P53779,MAPK9 / MAPK10,2,33.55 (95% CI:26.15 to 43.04),33.5497,26.153,43.0383,2.96483936E-5,5.0682
sp|P49184|DNSL1_HUMAN,P49184,DNASE1L1,2,11.54 (95% CI:5.67 to 23.47),11.5383,5.6731,23.4671,2.20151826E-3,3.5284
sp|Q05397|FAK1_HUMAN,Q05397,PTK2,2,0.59 (95% CI:0.55 to 0.64),0.5942,0.5528,0.6387,2.15355049E-4,-0.751
sp|Q14624|ITIH4_HUMAN,Q14624,ITIH4,2,0.08 (95% CI:0.07 to 0.08),0.0752,0.0698,0.081,3.43368459E-6,-3.7336
sp|Q8N5W9|RFLB_HUMAN,Q8N5W9,RFLNB,2,18.82 (95% CI:12.21 to 28.99),18.8159,12.2105,28.9946,2.60162505E-4,4.2339
sp|Q9H244|P2Y12_HUMAN,Q9H244,P2RY12,2,29.72 (95% CI:14.03 to 62.98),29.7223,14.0277,62.9762,9.19683997E-4,4.8935
sp|Q9P2R7|SUCB1_HUMAN,Q9P2R7,SUCLA2,2,4.51 (95% CI:1.68 to 12.14),4.5095,1.6754,12.1377,2.80740152E-2,2.173
sp|Q9UK99|FBX3_HUMAN,Q9UK99,FBXO3,2,1.02 (95% CI:0.04 to 24.62),1.0244,0.0426,24.6158,9.89309828E-1,0.0347
sp|Q9Y5U9|IR3IP_HUMAN,Q9Y5U9,IER3IP1,2,19.67 (95% CI:6.18 to 62.6),19.6735,6.1831,62.5973,5.60705761E-3,4.2982
sp|Q9Y6I9|TX264_HUMAN,Q9Y6I9,TEX264,2,14.89 (95% CI:8.74 to 25.36),14.8924,8.7448,25.3619,6.45470219E-4,3.8965
sp|A0AVT1|UBA6_HUMAN,A0AVT1,UBA6,2,0.04 (95% CI:0.04 to 0.05),0.0439,0.0388,0.0496,6.56051737E-6,-4.5095
sp|P08133|ANXA6_HUMAN,P08133,ANXA6,2,0.96 (95% CI:0.74 to 1.24),0.9616,0.745,1.2412,7.34514292E-1,-0.0565
sp|P11362|FGFR1_HUMAN,P11362,FGFR1,2,8.49 (95% CI:3.29 to 21.9),8.4865,3.288,21.9042,8.49363560E-3,3.0852
sp|P49915|GUAA_HUMAN,P49915,GMPS,2,8.37 (95% CI:4.11 to 17.03),8.3657,4.1101,17.0273,3.46179479E-3,3.0645
sp|P62328|TYB4_HUMAN,P62328,TMSB4X,2,35.25 (95% CI:29.34 to 42.36),35.2521,29.339,42.3569,1.29084535E-5,5.1396
sp|P68106|FKB1B_HUMAN,P68106,FKBP1B,2,5.78 (95% CI:0.75 to 44.41),5.7753,0.7511,44.406,1.17086151E-1,2.5299
sp|Q12893|TM115_HUMAN,Q12893,TMEM115,2,6.4 (95% CI:2.46 to 16.66),6.4028,2.4602,16.6632,1.35803101E-2,2.6787
sp|Q14139|UBE4A_HUMAN,Q14139,UBE4A,2,4.15 (95% CI:0.85 to 20.28),4.1481,0.8485,20.2783,1.06634377E-1,2.0525
sp|Q14728|MFS10_HUMAN,Q14728,MFSD10,2,133975.17 (95% CI:18.58 to 965802598.85),133975.1662,18.5849,965802598.8524,4.13273095E-2,17.0316
sp|Q5BKT4|AG10A_HUMAN / sp|Q5I7T1|AG10B_HUMAN,Q5BKT4 / Q5I7T1,ALG10 / ALG10B,2,7.46 (95% CI:3.13 to 17.77),7.4597,3.1314,17.7711,7.84692034E-3,2.8991
sp|Q6GYQ0|RGPA1_HUMAN,Q6GYQ0,RALGAPA1,2,7.79 (95% CI:3.19 to 19.05),7.7941,3.1895,19.0462,8.00885286E-3,2.9624
sp|Q7L8W6|DPH6_HUMAN,Q7L8W6,DPH6,2,3.06 (95% CI:0.4 to 23.53),3.0646,0.3991,23.5298,2.64696333E-1,1.6157
sp|Q8NDB2|BANK1_HUMAN,Q8NDB2,BANK1,2,15.48 (95% CI:7.4 to 32.38),15.4827,7.4037,32.3778,1.72541359E-3,3.9526
sp|Q8NEU8|DP13B_HUMAN,Q8NEU8,APPL2,2,14.37 (95% CI:9.86 to 20.94),14.37,9.8637,20.9351,2.26982920E-4,3.845
sp|Q8TBA6|GOGA5_HUMAN,Q8TBA6,GOLGA5,2,4.96 (95% CI:2.19 to 11.23),4.9584,2.1885,11.2338,1.32345070E-2,2.3099
sp|Q8WU90|ZC3HF_HUMAN,Q8WU90,ZC3H15,2,11.51 (95% CI:6.43 to 20.62),11.5137,6.4281,20.623,1.17215739E-3,3.5253
sp|Q8WUX9|CHMP7_HUMAN,Q8WUX9,CHMP7,2,44.54 (95% CI:18.25 to 108.7),44.5363,18.2478,108.6972,1.11855538E-3,5.4769
sp|Q96AN5|TM143_HUMAN,Q96AN5,TMEM143,2,26.95 (95% CI:6.91 to 105.07),26.9474,6.9111,105.0722,6.82460577E-3,4.7521
sp|Q99747|SNAG_HUMAN,Q99747,NAPG,2,4.27 (95% CI:2.51 to 7.25),4.266,2.5108,7.2482,4.59035384E-3,2.0929
sp|Q9GZZ1|NAA50_HUMAN,Q9GZZ1,NAA50,2,2.39 (95% CI:0.62 to 9.21),2.3905,0.6204,9.2119,2.02102273E-1,1.2573
sp|Q9H251|CAD23_HUMAN,Q9H251,CDH23,2,6.99 (95% CI:2.34 to 20.86),6.9924,2.3439,20.86,1.76938399E-2,2.8058
sp|Q9NUY8|TBC23_HUMAN,Q9NUY8,TBC1D23,2,6.76 (95% CI:1.93 to 23.64),6.7557,1.9308,23.638,2.78571838E-2,2.7561
sp|Q9UBW8|CSN7A_HUMAN,Q9UBW8,COPS7A,2,0.77 (95% CI:0.05 to 10.93),0.7663,0.0537,10.935,8.30401475E-1,-0.384
sp|A0A0B4J1V1|HV321_HUMAN,A0A0B4J1V1,IGHV3-21,2,0.2 (95% CI:0.17 to 0.24),0.2023,0.1715,0.2386,8.66642157E-5,-2.3056
sp|O15439|MRP4_HUMAN,O15439,ABCC4,2,1.93 (95% CI:1.03 to 3.62),1.9282,1.0268,3.6207,7.45625905E-2,0.9472
sp|O43353|RIPK2_HUMAN,O43353,RIPK2,2,0.33 (95% CI:0.15 to 0.71),0.3303,0.154,0.7085,3.20836841E-2,-1.5981
sp|O94979|SC31A_HUMAN,O94979,SEC31A,2,6.94 (95% CI:1.92 to 25.09),6.9381,1.9189,25.0855,2.88674250E-2,2.7945
sp|P17931|LEG3_HUMAN,P17931,LGALS3,2,1.02 (95% CI:0.59 to 1.73),1.0154,0.5946,1.7339,9.56917942E-1,0.022
sp|P26572|MGAT1_HUMAN,P26572,MGAT1,2,3.69 (95% CI:1.58 to 8.61),3.6923,1.5827,8.6136,2.69704599E-2,1.8845
sp|P42768|WASP_HUMAN,P42768,WAS,2,12.13 (95% CI:8.84 to 16.65),12.1304,8.8399,16.6456,1.62037938E-4,3.6006
sp|P51790|CLCN3_HUMAN,P51790,CLCN3,2,4.17 (95% CI:3.32 to 5.23),4.1662,3.3215,5.2256,3.27782166E-4,2.0587
sp|P62241|RS8_HUMAN,P62241,RPS8,2,0.01 (95% CI:0 to 0.08),0.0115,0.0017,0.076,7.33134380E-3,-6.438
sp|Q12974|TP4A2_HUMAN,Q12974,PTP4A2,2,10.4 (95% CI:6.61 to 16.38),10.4034,6.6091,16.3758,6.10248374E-4,3.379
sp|Q13596|SNX1_HUMAN,Q13596,SNX1,2,6.67 (95% CI:4.5 to 9.89),6.6712,4.498,9.8944,7.55942712E-4,2.7379
sp|Q15811|ITSN1_HUMAN,Q15811,ITSN1,2,24.09 (95% CI:3.6 to 161.36),24.0896,3.5963,161.3636,2.11968019E-2,4.5903
sp|Q68BL7|OLM2A_HUMAN,Q68BL7,OLFML2A,2,0.03 (95% CI:0.02 to 0.04),0.0295,0.0218,0.0399,4.98731846E-5,-5.0833
sp|Q8IX03|KIBRA_HUMAN,Q8IX03,WWC1,2,8.6 (95% CI:3.67 to 20.14),8.5967,3.6694,20.1402,5.94825387E-3,3.1038
sp|Q92609|TBCD5_HUMAN,Q92609,TBC1D5,2,0.24 (95% CI:0.14 to 0.4),0.2352,0.139,0.398,4.51099960E-3,-2.0878
sp|Q93008|USP9X_HUMAN,Q93008,USP9X,2,0.92 (95% CI:0.88 to 0.97),0.9218,0.8754,0.9707,2.53497490E-2,-0.1175
sp|Q96L46|CPNS2_HUMAN,Q96L46,CAPNS2,2,11.97 (95% CI:7.54 to 19.01),11.9706,7.5397,19.0054,5.37538059E-4,3.5814
sp|Q9HBL7|PLRKT_HUMAN,Q9HBL7,PLGRKT,2,27.13 (95% CI:19.93 to 36.93),27.1272,19.9255,36.9318,6.50456771E-5,4.7617
sp|Q9UBV7|B4GT7_HUMAN,Q9UBV7,B4GALT7,2,10.24 (95% CI:0.55 to 189.57),10.2384,0.553,189.5712,1.37498115E-1,3.3559
sp|Q9UHV9|PFD2_HUMAN,Q9UHV9,PFDN2,2,15.62 (95% CI:3.91 to 62.39),15.6234,3.9121,62.394,1.26533201E-2,3.9656
sp|Q9UK76|JUPI1_HUMAN,Q9UK76,JPT1,2,2.15 (95% CI:0.06 to 79.1),2.1496,0.0584,79.0952,6.35077361E-1,1.104
sp|Q9Y5Y5|PEX16_HUMAN,Q9Y5Y5,PEX16,2,192.08 (95% CI:0.01 to 2805425.1),192.0779,0.0132,2805425.0999,2.65462918E-1,7.5855
sp|O14531|DPYL4_HUMAN,O14531,DPYSL4,2,32.87 (95% CI:19.36 to 55.79),32.8666,19.3623,55.7897,2.84047842E-4,5.0386
sp|O14777|NDC80_HUMAN,O14777,NDC80,2,57.35 (95% CI:29.9 to 110),57.3527,29.903,110.0003,3.41359597E-4,5.8418
sp|O75356|ENTP5_HUMAN,O75356,ENTPD5,2,5792.27 (95% CI:0.26 to 129475226.52),5792.269,0.2591,129475226.5239,1.15498684E-1,12.4999
sp|P07358|CO8B_HUMAN,P07358,C8B,2,0.18 (95% CI:0.16 to 0.2),0.1771,0.1587,0.1976,2.17783266E-5,-2.4972
sp|P08319|ADH4_HUMAN,P08319,ADH4,2,9.52 (95% CI:3.42 to 26.48),9.5214,3.4242,26.4753,9.13444362E-3,3.2512
sp|P26196|DDX6_HUMAN,P26196,DDX6,2,7.23 (95% CI:4.65 to 11.24),7.2325,4.6518,11.2448,9.42625943E-4,2.8545
sp|P35611|ADDA_HUMAN,P35611,ADD1,2,4.61 (95% CI:1.96 to 10.84),4.6112,1.9616,10.8394,1.74068829E-2,2.2051
sp|P50454|SERPH_HUMAN,P50454,SERPINH1,2,5.46 (95% CI:1.77 to 16.91),5.4639,1.7656,16.9087,2.90959335E-2,2.4499
sp|P53801|PTTG_HUMAN,P53801,PTTG1IP,2,33.13 (95% CI:20.5 to 53.54),33.1334,20.5048,53.5397,2.07775647E-4,5.0502
sp|Q53GL0|PKHO1_HUMAN,Q53GL0,PLEKHO1,2,3.84 (95% CI:1.61 to 9.14),3.8396,1.6137,9.1361,2.64701422E-2,1.941
sp|Q6ICL3|TNG2_HUMAN,Q6ICL3,TANGO2,2,4.54 (95% CI:2.44 to 8.48),4.5432,2.435,8.4764,6.76403767E-3,2.1837
sp|Q6P1N0|C2D1A_HUMAN,Q6P1N0,CC2D1A,2,1.91 (95% CI:0.91 to 3.97),1.9051,0.9138,3.9718,1.12051492E-1,0.9298
sp|Q6P2I3|FAH2B_HUMAN / sp|Q96GK7|FAH2A_HUMAN,Q6P2I3 / Q96GK7,FAHD2B / FAHD2A,2,6.86 (95% CI:4.91 to 9.59),6.8615,4.9094,9.5899,4.40173004E-4,2.7785
sp|Q7Z4H8|PLGT3_HUMAN,Q7Z4H8,POGLUT3,2,6.37 (95% CI:0.61 to 66.59),6.3725,0.6099,66.5854,1.40328395E-1,2.6718
sp|Q8N668|COMD1_HUMAN,Q8N668,COMMD1,2,376086.85 (95% CI:252695.41 to 559730.46),376086.8495,252695.4097,559730.4619,4.00123434E-6,18.5207
sp|Q8N8R5|CB069_HUMAN,Q8N8R5,C2orf69,2,38939.7 (95% CI:21.17 to 71626628.03),38939.7009,21.1695,71626628.032,3.51362438E-2,15.249
sp|Q96DA6|TIM14_HUMAN,Q96DA6,DNAJC19,2,8.63 (95% CI:2.4 to 30.98),8.6257,2.4014,30.9834,2.07436724E-2,3.1086
sp|Q96M27|PRRC1_HUMAN,Q96M27,PRRC1,2,46.54 (95% CI:17.29 to 125.26),46.5373,17.2896,125.2617,1.49689203E-3,5.5403
sp|Q96P70|IPO9_HUMAN,Q96P70,IPO9,2,6.7 (95% CI:4.55 to 9.86),6.6965,4.5488,9.8583,7.09837235E-4,2.7434
sp|Q96PU5|NED4L_HUMAN,Q96PU5,NEDD4L,2,1.07 (95% CI:0.23 to 5.08),1.0709,0.2256,5.083,9.30646559E-1,0.0988
sp|Q9BYD1|RM13_HUMAN,Q9BYD1,MRPL13,2,0.5 (95% CI:0.29 to 0.89),0.5049,0.2857,0.8924,5.48518023E-2,-0.9859
sp|Q9HAS0|NJMU_HUMAN,Q9HAS0,C17orf75,2,8.73 (95% CI:2.29 to 33.28),8.7274,2.2887,33.2802,2.34081923E-2,3.1256
sp|Q9UHD2|TBK1_HUMAN,Q9UHD2,TBK1,2,7.11 (95% CI:2.09 to 24.24),7.111,2.0858,24.2429,2.42258842E-2,2.8301
sp|Q9Y478|AAKB1_HUMAN,Q9Y478,PRKAB1,2,2.31 (95% CI:1.14 to 4.67),2.3104,1.1433,4.6688,5.59388302E-2,1.2081
sp|Q9Y6H1|CHCH2_HUMAN / sp|Q5T1J5|CHCH9_HUMAN,Q9Y6H1 / Q5T1J5,CHCHD2 / CHCHD2P9,2,74.93 (95% CI:39.82 to 141.01),74.9342,39.8211,141.0087,2.55514874E-4,6.2276
tr|A0A075B708|A0A075B708_HUMAN,A0A075B708,TRAJ61,2,0.25 (95% CI:0.21 to 0.31),0.2542,0.2053,0.3148,3.11829617E-4,-1.9761
sp|O14594|NCAN_HUMAN,O14594,NCAN,2,8.44 (95% CI:2.3 to 30.99),8.4412,2.2992,30.9907,2.25033299E-2,3.0774
sp|O60637|TSN3_HUMAN,O60637,TSPAN3,2,0.63 (95% CI:0.46 to 0.87),0.6345,0.4632,0.8692,3.25168608E-2,-0.6562
sp|O95202|LETM1_HUMAN,O95202,LETM1,2,4.1 (95% CI:2.99 to 5.62),4.1017,2.9939,5.6194,9.42625943E-4,2.0362
sp|O96019|ACL6A_HUMAN,O96019,ACTL6A,2,0.45 (95% CI:0.2 to 0.99),0.4461,0.201,0.9902,8.01063117E-2,-1.1644
sp|P0C7P3|SLN14_HUMAN,P0C7P3,SLFN14,2,6.31 (95% CI:4.06 to 9.81),6.3104,4.0577,9.8136,1.19175316E-3,2.6577
sp|P14625|ENPL_HUMAN,P14625,HSP90B1,2,18.75 (95% CI:8.76 to 40.13),18.7458,8.7565,40.1305,1.53243045E-3,4.2285
sp|P16949|STMN1_HUMAN,P16949,STMN1,2,0.24 (95% CI:0.07 to 0.86),0.2402,0.067,0.8614,6.63011663E-2,-2.0576
sp|P20810|ICAL_HUMAN,P20810,CAST,2,9.18 (95% CI:5.01 to 16.79),9.1763,5.0145,16.7922,1.79532264E-3,3.1979
sp|P22033|MUTA_HUMAN,P22033,MMUT,2,1.2 (95% CI:0.58 to 2.48),1.2039,0.5841,2.4815,5.68171046E-1,0.2677
sp|P31942|HNRH3_HUMAN,P31942,HNRNPH3,2,1.02 (95% CI:0.25 to 4.15),1.0216,0.2513,4.1528,9.77627321E-1,0.0308
sp|P43155|CACP_HUMAN,P43155,CRAT,2,10.68 (95% CI:4.56 to 25.01),10.6829,4.5639,25.0059,4.34929620E-3,3.4172
sp|Q7L9L4|MOB1B_HUMAN / sp|Q9H8S9|MOB1A_HUMAN,Q7L9L4 / Q9H8S9,MOB1B / MOB1A,2,28.25 (95% CI:21.81 to 36.58),28.2464,21.812,36.5789,3.72836219E-5,4.82
sp|Q8N2S1|LTBP4_HUMAN,Q8N2S1,LTBP4,2,2.19 (95% CI:0.35 to 13.72),2.1861,0.3483,13.7219,3.74080471E-1,1.1283
sp|Q8TCT9|HM13_HUMAN,Q8TCT9,HM13,2,6155.9 (95% CI:0.26 to 143061071.97),6155.8966,0.2649,143061071.9716,1.14752157E-1,12.5878
sp|Q8TDZ2|MICA1_HUMAN,Q8TDZ2,MICAL1,2,3.78 (95% CI:1.08 to 13.21),3.7775,1.0799,13.2137,7.12744439E-2,1.9174
sp|Q92508|PIEZ1_HUMAN,Q92508,PIEZO1,2,60.02 (95% CI:5.85 to 615.56),60.0186,5.8519,615.5602,1.83065826E-2,5.9073
sp|Q96J65|MRP9_HUMAN,Q96J65,ABCC12,2,10.7 (95% CI:5.9 to 19.41),10.7039,5.9023,19.4115,1.38086792E-3,3.4201
sp|Q96PE7|MCEE_HUMAN,Q96PE7,MCEE,2,7.55 (95% CI:1.31 to 43.35),7.5492,1.3145,43.3549,6.04362777E-2,2.9163
sp|Q9H8Y8|GORS2_HUMAN,Q9H8Y8,GORASP2,2,6.82 (95% CI:3.72 to 12.49),6.8175,3.7216,12.4887,2.84633359E-3,2.7692
